Type	File	Stars	L1	S1	L2	S2	L3	S3	L4	S4	L5	S5
ironic	34_6_R2WH1O4QVDL3O5	3	both	three	sarcastic	one	sarcastic	one	sarcastic	two	sarcastic	one
regular	276426_9_R14SQB116M254R	5	regular	five	regular	four	regular	four	regular	four	regular	four
ironic	32_3_R2S2E1DB2ATCX8	1	regular	three	both	one	both	one	both	three	sarcastic	two
regular	34_1_R62ZHMJJS21E3	5	regular	five	regular	four	regular	five	both	three	regular	five
regular	25_6_RCZFUW8W9BABN	5	regular	five	regular	four	regular	five	regular	five	regular	four
ironic	50_6_R2VHNRY63VQFRG	1	regular	five	both	one	ironic	two	regular	two	both	one
ironic	29_3_R3SR0SB9JSO8IX	1	sarcastic	one	both	one	regular	two	sarcastic	one	regular	two
ironic	22_12_R1VQSBUHBG90R1	1	both	two	sarcastic	one	both	one	regular	one	sarcastic	one
ironic	50_2_R1ZMQDIOL74E1N	1	sarcastic	one	sarcastic	one	ironic	one	regular	one	both	one
ironic	46_12_R1UNQM7FPDC0MG	1	regular	one	regular	one	both	one	sarcastic	one	both	one
regular	23_15_RXQEIDKV0AZFK	4	regular	four	regular	five	regular	five	regular	five	regular	five
regular	12_3_RHOGQ4CK85EPB	5	regular	five	regular	five	regular	five	regular	five	regular	five
ironic	27_4_RWSQIFTHNZCM7	1	ironic	one	sarcastic	one	both	one	both	one	both	one
regular	23_16_R2TQ3JFG0654NC	5	both	four	regular	four	regular	four	regular	one	regular	three
regular	26_7_R1A01BJC2SMECD	1	regular	one	sarcastic	one	regular	one	regular	one	regular	one
regular	276424_3_R3RMHK4G64BBN	3	regular	five	regular	one	regular	four	regular	three	regular	three
regular	4_14_R1EJS9Y17TR72G	5	regular	five	sarcastic	three	regular	five	regular	five	regular	five
regular	45_13_R2ZKKPC9XS0D61	4	regular	four	regular	four	regular	three	both	four	regular	four
regular	41_19_R3S33Q8K7XENWG	1	sarcastic	three	sarcastic	one	regular	five	regular	one	regular	one
regular	15_16_R1ACR2UFBBVU3J	4	regular	five	regular	four	both	four	regular	five	regular	five
regular	12_18_R2O08XKND08G6M	5	regular	five	regular	three	regular	five	regular	five	regular	five
ironic	2_14_R6F602HSMD3F9	5	sarcastic	three	ironic	five	sarcastic	two	ironic	three	sarcastic	one
ironic	49_7_R2WJ2OILNNPHLH	1	both	two	regular	one	regular	two	sarcastic	two	ironic	three
regular	48_5_R2IQUWG5R0SG0B	5	regular	four			regular	four	regular	five	regular	four
ironic	47_5_R2KH2KZQVYEARZ	4	sarcastic	two	both	five	sarcastic	three	regular	five	both	four
regular	15_2_R2E8O82Q8KBR8G	1	ironic	two	regular	one	regular	two	regular	five	ironic	three
regular	21_16_R108D5QTY61ZH4	5	regular	five	both	three	regular	five	regular	five	regular	four
regular	9_11_R37TTG3TZTW0BZ	5	regular	five	regular	five	regular	four	regular	three	regular	four
ironic	32_9_R7C2P79OILQD8	1	regular	one	both	one	ironic	three	both	one	sarcastic	one
regular	34_12_R1Q509NYUJ3K5O	5	regular	five	regular	five	regular	three	regular	five	regular	five
regular	6_8_R3L1WK2Q10GBTN	5	regular	three	regular	four	regular	four	regular	five		
regular	8_1_R291LE6XDSFD2U	5	regular	three	regular	five	regular	three	regular	four	regular	four
ironic	49_14_R16R2OQYL10YD	1	ironic	one	sarcastic	three	sarcastic	one	both	three	sarcastic	four
ironic	15_9_R2DF1STG5QDJPG	1	regular	one	sarcastic	one	sarcastic	one	regular	two	both	one
ironic	36_1_R15E5F12IJPM35	5	sarcastic	three	ironic	five	both	five	ironic	four	both	five
regular	14_3_R19T1Z65YR0LWR	1	regular	one	regular	one	ironic	four	regular	one	regular	one
regular	15_13_R3K27N6BPGID7J	2	regular	one			regular	three	regular	two	regular	one
regular	35_12_R3CUB6Y4Z6PPCC	5	regular	five	regular	five	ironic	two	regular	five	regular	five
ironic	3_4_REBAMEZU2XO9B	1	both	one	both	one	both	two	regular	three	regular	one
regular	11_7_R116OBOLCI9AKY	5	ironic	five	regular	five	sarcastic	three	regular	five	regular	five
ironic	15_15_R2P5ZKHROB75H1	3	regular	three	sarcastic	three	both	three	regular	four	ironic	five
regular	7_19_RYVK0ZZOI5GEI	5	regular	five	ironic	five	regular	five	regular	three	regular	five
regular	18_18_R2SJZTSNQ8JBNF	4	regular	five	both	one	regular	five	regular	five	regular	three
ironic	3_18_R13D2BDLFVJFBQ	1	both	one	both	one	sarcastic	one	both	five	both	one
regular	40_11_R3A24SMOJBHDCA	5	regular	four	regular	five	regular	five	regular	five	regular	five
regular	42_19_R3F4CARFE659E6	5	regular	five	regular	five	regular	five	regular	three	regular	one
regular	19_6_R2FVWVQ0FZPOHZ	1	sarcastic	one	regular	one	regular	two	regular	one	regular	one
regular	35_16_R3MK5GP7F1QVX8	5	sarcastic	four	regular	five	regular	four	regular	five	regular	five
ironic	42_13_R2EZFYE6A7OPKH	1	sarcastic	one	sarcastic	one	both	one	sarcastic	one	regular	three
regular	16_8_R209MC0S1K5X7Z	5	regular	five	sarcastic	three	regular	four	regular	five	regular	five
regular	8_14_R33DVK1YQFJS86	5	regular	five	ironic	four	regular	five	regular	five	regular	five
ironic	36_3_R3J7O2KZVC1NDW	4	sarcastic	three	both	three	regular	four	ironic	three	both	four
regular	9_17_R3GCGZ7TN24OYC	5	regular	four	regular	three	regular	five	regular	five	regular	five
regular	14_16_RTQ5QA9FUIGB8	5	regular	three	regular	five			regular	five	regular	four
regular	7_14_RG0C4MZEPSTNR	1	regular	three	regular	three	both	three	regular	three	regular	two
regular	14_10_RC77OKF573S6Z	5	regular	five	regular	five	regular	five	regular	five	regular	four
regular	43_9_R34HT9IAEJN3E2	5	regular	five	regular	three	regular	four	ironic	four	regular	five
ironic	46_10_REOS7V68HRVV6	1	sarcastic	one	regular	one	both	one	regular	three	sarcastic	one
ironic	34_15_R3TFOY32X4LDK6	1	both	two	both	two	sarcastic	two	both	three	sarcastic	three
regular	32_16_R1VLASPA4W6WY0	1	regular	one	regular	two	regular	one	regular	two	regular	three
regular	276425_9_R385XOJTF1WY3C	5	regular	three	regular	four	regular	four	regular	four	regular	four
regular	10_16_R1DYEQ9KAHE3P3	2	regular	three	sarcastic	three	both	three	regular	two	regular	three
regular	44_12_R3N66HKDBDZQEO	1	regular	one	regular	two	ironic	one	sarcastic	one	regular	one
regular	7_12_R1S2TWMUY472V5	5	sarcastic	five	sarcastic	three	regular	four	regular	four	regular	three
